"id","title","description","category","difficulty","points_reward","frequency","image_url","enrolled_count","created_at"
"1","Plant a Tree Every Week","Commit to planting at least one tree every week. Trees absorb CO2, provide oxygen, prevent soil erosion, and support biodiversity. Whether in your yard, a community garden, or through a local reforestation project — every tree counts.","Reforestation","easy","50","weekly","/missions/plant-a-tree.jpg","2850","""2026-07-10T06:51:19.380Z"""
"2","No Plastic for 3 Days","Challenge yourself to go completely plastic-free for 3 days. Avoid single-use plastics — bags, bottles, straws, packaging. This builds awareness of how deeply plastic is embedded in daily life and helps break the habit permanently.","Waste Reduction","medium","75","weekly","/missions/no-plastic.jpg","4105","""2026-07-10T06:51:19.543Z"""
"3","Bike to Work Month","Replace your car commute with cycling for an entire month. Cycling eliminates direct carbon emissions from your commute, improves personal health, reduces traffic congestion, and saves money on fuel.","Transport","medium","200","monthly","/missions/bike-to-work.jpg","1564","""2026-07-10T06:51:19.717Z"""
"4","Zero Waste Challenge","Reduce your household waste output to near zero. Compost food scraps, refuse unnecessary packaging, repair instead of replace, and donate instead of discard. Track your waste reduction progress over 30 days.","Waste Reduction","hard","300","daily","/missions/zero-waste-challenge.jpg","988","""2026-07-10T06:51:19.898Z"""
"5","Meatless Mondays","Go vegetarian every Monday. Meat production is one of the largest contributors to greenhouse gas emissions. Reducing meat consumption even one day a week has measurable environmental impact at scale.","Diet & Food","easy","40","weekly","/missions/meatless-mondays.jpg","6211","""2026-07-10T06:51:20.035Z"""
"6","Energy Audit Your Home","Conduct a full energy audit of your home. Identify drafts, upgrade insulation, switch to LED lighting, and unplug phantom energy drains. Document your findings and implement at least 3 changes.","Energy","hard","400","monthly","/missions/energy-audit.jpg","713","""2026-07-10T06:51:20.167Z"""
"7","5-Minute Energy Shutdown","Switch off every unused light, charger, and appliance in your home for 5 minutes each day to kill phantom power draw.","Energy","easy","20","daily","/missions/energy-shutdown.jpg","1821","""2026-07-11T05:31:26.444Z"""
"8","Meat-Free Meal of the Day","Swap one meal a day for a plant-based dish to cut your daily carbon footprint.","Diet & Food","easy","25","daily","/missions/meat-free-meal.jpg","3106","""2026-07-11T05:31:29.833Z"""
"9","Cold Water Wash Day","Run your laundry on a cold cycle today to save the energy needed to heat water.","Energy","easy","20","daily","/missions/cold-water-wash.jpg","1421","""2026-07-11T05:31:33.296Z"""
"10","Reusable Bottle Day","Go the whole day without a single-use plastic bottle or cup.","Waste Reduction","easy","15","daily","/missions/reusable-bottle.jpg","4981","""2026-07-11T05:31:36.716Z"""
"11","Community Cleanup Crew","Join or organize a litter cleanup in your neighborhood, park, or beach this week.","Waste Reduction","medium","80","weekly","/missions/cleanup-crew.jpg","891","""2026-07-11T05:31:40.197Z"""
"12","Public Transit Week","Leave the car at home and commute by bus, train, or carpool all week.","Transport","medium","90","weekly","/missions/transit-week.jpg","1231","""2026-07-11T05:31:43.363Z"""
"13","Zero Single-Use Plastic Month","Eliminate single-use plastic from your shopping and kitchen for an entire month.","Waste Reduction","hard","350","monthly","/missions/plastic-free-month.jpg","541","""2026-07-11T05:31:46.798Z"""
"14","Compost Starter Month","Start composting your food scraps and yard waste for a full month.","Waste Reduction","medium","250","monthly","/missions/compost-starter.jpg","611","""2026-07-11T05:31:49.959Z"""
"15","Share earthVENGERS With 3 Friends","Spread the word — send the earthVENGERS link to 3 friends and get them thinking about climate action.","Awareness","easy","30","awareness","/missions/share-earthvengers.jpg","2761","""2026-07-11T05:31:53.384Z"""
"16","Post Your Climate Pledge Online","Post your climate pledge on social media and tag earthVENGERS to inspire your network.","Awareness","easy","30","awareness","/missions/climate-pledge.jpg","2211","""2026-07-11T05:31:56.594Z"""
"17","Invite a Friend to Enlist","Get a friend to sign up and complete their first mission on earthVENGERS.","Awareness","medium","60","awareness","/missions/invite-friend.jpg","1341","""2026-07-11T05:32:00.048Z"""
"18","Write a Review for earthVENGERS","Leave an honest review of earthVENGERS to help more people discover the movement.","Awareness","easy","25","awareness","/missions/write-review.jpg","981","""2026-07-11T05:32:03.227Z"""
"19","Host a Climate Watch Party","Gather friends or family to watch a climate documentary and discuss ways to act.","Awareness","medium","70","awareness","/missions/watch-party.jpg","721","""2026-07-11T05:32:06.702Z"""
